nazev,latinský nazev,popis,vune,pouziti
"Skořice cejlonská, list esenciální olej",Cinnamomum zeylanicum,"Dobijte energetické zásoby v hřejivé náruči skořice,
která vás povzbudí a podpoří vřelé vztahy i vaše vlastní
sebepřijetí.","Vůně: teplá, sladce kořeněná, typicky skořicová","Použití: inhalace, koupel, obklad"
"Jalovec, plod esenciální olej",Juniperus communis,"Vydejte se za svými sny v doprovodu jalovce, který vás
rozproudí a dodá vám rozhodnost,
odvahu a otevřenost. Skvělou práci odvede
také v kuchyni.","Vůně: svěží, dřevitá, sladkohořká s bylinným
nádechem a ovocnými tóny","Použití: inhalace, koupel, dochucení pokrmů"
Kafr esenciální olej,Cinnamomum camphora,"Objevte sílu prohřívacího esenciálního oleje, který
spolehlivě zažene únavu, uvolní svaly a
odpudí nežádoucí hmyz.","Vůně: kafrová, medicinální","Použití: inhalace, masáž, koupel"
Miracle esenciální olej,Zázračné vyladění,"Zatočte s překyselením vašeho těla s esenciální
směsí BEWIT Miracle.","Vůně: bylinná, květinová, mentolová, jemně
dřevitá","Použití: inhalace, masáž, koupel"
Merry Christmas esenciální olej,Veselé Vánoce,"Vykouzlete si tu pravou sváteční atmosféru díky směsi
esenciálních olejů Merry Christmas. Jediným přičichnutím vás přenese
k rozsvícenému vánočnímu stromečku.","Vůně: bohatá, hřejivá, sladká, dřevitá, ovocná",Použití: inhalace
Levandule esenciální olej,Lavandula angustifolia,"Dopřejte svému tělu i duši zklidnění,
uvolnění a regeneraci. Nechte se prostoupit
konejšivou něhou sycenou sluncem jihu.","Vůně: jemně bylinná, nasládlá, lehce květinová
s kafrovými tóny","Použití: inhalace, masáž, koupel"
Kadidlo Serrata esenciální olej,Boswellia serrata,"Poznejte neskonalou sílu mimořádně pečujícího a
povznášejícího krále esenciálních olejů.","Vůně: dřevitá, hřejivá, balzámová, bohatá","Použití: inhalace, péče o pleť a pokožku, koupel"
Cedr himalájský esenciální olej,Cedrus deodara,"Obnovte svou vnitřní neochvějnou sílu s pomocí
vznešeného cedru, který vás pročistí,
zregeneruje a podpoří vaši odolnost a
sebejistotu.","Vůně: dřevitá, sladká, balzámová a jemně
kafrová","Použití: inhalace, masáž, koupel"
"Citron, RAW esenciální olej",Citrus limon,"Mějte nadosah překypující energii citrusového plodu,
který vám navodí pocity čistoty, svěžesti a sebedůvěry.","Vůně: citrusová, nasládlá, trpká, jemně
květinová","Použití: inhalace, masáž, koupel"
Pomeranč esenciální olej,Citrus sinensis,"Vyplujte na šťavnatě osvěžující vlně sluncem
vymazleného pomeranče, který vás v mžiku zklidní,
povznese a vykouzlí ve vás nefalšovanou, upřímnou
radost.","Vůně: hřejivá, svěží, citrusová, sladká","Použití: inhalace, masáž, koupel"
Borovice lesní esenciální olej,Pinus sylvestris,"Obnovte energetické zásoby v nádherně
osvěžující a čerstvé vůni borovicového lesa.","Vůně: svěží, dřevitá, jemně nasládlá,
jehličnatá","Použití: inhalace, masáž, koupel"
Citrónová tráva esenciální olej,Cymbopogon citratus,"Rozjasněte pleť a obnovte své zásoby
energie s esenciálním olejem z citrónové trávy, který
duševně očišťuje a dodá vám pozitivní
vhled do života.","Vůně: svěže citrónová, zelená s lehce
zemitými tóny","Použití: inhalace, masáž, péče o pleť a pokožku"
Pomeranč červený RAW esenciální olej,Citrus sinensis,"Překonejte chmury s blahodárnou vůní červeného pomeranče. Vůně
esenciálního oleje šetrně lisovaného za studena ve vás probudí
optimismus a kreativitu.","Vůně: teplá, sladká, svěží, citrusová","Použití: inhalace, masáž, koupel"
Akácie esenciální olej,Acacia nilotica,"Vůně je hřejivá, dřevitě květinová s pudrově balzamikovými tóny.
Něžné afrodiziakum, které odvrací mysl od stresujících myšlenek
a vytváří poklidnou intimní atmosféru.",Výborná přísada do pleťové kosmetiky.,
Aksamitník rozkladitý esenciální olej,Tagetes patula,"Objevte jedinečné účinky esenciálního oleje z aksamitníku,
širokospektrál­ního a zklidňujícího
tonika.","Vůně: teplá, sladko-bylinná, štiplavé tóny","Použití: inhalace, obklad, přírodní repelent"
Aksamitník zpeřený esenciální olej,Tagetes minuta var. bipinnata,"Zklidněte pokožku, prohlubte dýchání a
podpořte své vnitřní vidění – síla
vzácného aksamitníku je tu pro vás.","Vůně: ovocná, nasládlá, svěží","Použití: inhalace, obklad, přírodní repelent"
Alpinie esenciální olej,Alpinia malaccensis,"Svezte se na tropické vlně svěžesti
s afrodiziakální vůní alpinie.","Vůně: svěží, nasládlá, zázvorová, bylinná","Použití: inhalace, masáž, koupel"
Amyris esenciální olej,Amyris balsamifera,"Vůně je lehce dřevitá, sladká, balzámová. Meditativní povaha oleje
podporuje tvůrčí energii, harmonizuje a upokojuje mysl.",Oblíbený fixátor v parfumerii.,
"Andělika, kořen esenciální olej",Angelica archangelica,"Lehce zemité, sladké a pižmovité aroma anděliky může harmonizovat
vaše tělo jak fyzicky, tak psychicky.",,
Anýz esenciální olej,Pimpinella anisum,"Dosáhněte klidné mysli, pocitů všestranné úlevy a
uvolnění a příjemné nálady na vlnách pikantně sladké
vůně anýzu. Můžete s ním kouzlit i v kuchyni.","Vůně: teplá, sladce kořeněná, typicky
lékořicová","Použití: inhalace, koupel, dochucení pokrmů"
Badyán pravý esenciální olej,Illicium verum,"Poznejte jedinečnost voňavého badyánu, který vám vykouzlí
dobrou náladu, povzbudí a příjemně
prohřeje. Odkryjte jeho tajemství
i v kuchyni.","Vůně: nasládlá, teplá, lékořicová s hlubokým
balzamicko-dřevitým podtónem","Použití: inhalace, koupel, dochucení pokrmů"
Bay St. Thomas esenciální olej,Pimenta racemosa,"Vůně je osvěžující, kořeněná, bylinná. Na mentální rovině
působí relaxačně a podporuje jasné myšlení.",Výborná přísada do pánské kosmetiky.,
Bazalka kafrová esenciální olej,Ocimum kilimandscharicum,"Obnovte svou sílu a vytrvalost – při přejedení,
prochladnutí a vyčerpaní shonem běžných
dní vám kafrová bazalka podá pomocnou ruku.","Vůně: výrazná kafrová, sladká, kořeněná","Použití: inhalace, masáže, obklady"
Bazalka posvátná esenciální olej,Ocimum sanctum,"Kralujte svému životu a podpořte svou vitalitu,
dlouhověkost a blažený klid, který se stane
vstupní branou k vaší vnitřní moudrosti.","Vůně: bohatá, kořenitá, balzámová, teplá","Použití: inhalace, masáž, obklady"
Bazalka pravá esenciální olej,Ocimum basilicum,"Pociťte lehkost a sílu. Bazalka pravá
vás probere při vyčerpání, posílí po náročném úkolu
a uvolní napětí v hlavě nejen před spaním.","Vůně: intenzivní, bylinná, sladká, balzámová","Použití: inhalace, masáž, obklad"
Benzoin esenciální olej,Styrax benzoin,"Vůně je teplá, balzámová s vanilkovými tóny. Uzemňující charakter
oleje navodí pocit klidu a stability.",Zvláště účinný je i v péči o pleť.,
Bergamot RAW esenciální olej,Citrus bergamia,"V uklidňující náruči bergamotu vplujte na parket
s lehkostí a úsměvem.","Vůně: svěží, sladce-trpká, citrusová, květinová","Použití: inhalace, masáž, koupel"
